pseudo_date,n_treated_pre,n_treated_post,two_sided_treated_support
2022-06-22,73,165,1
2022-06-23,73,165,1
2022-06-24,73,165,1
2022-06-27,74,164,1
2022-06-28,74,164,1
2022-06-29,74,164,1
2022-06-30,74,164,1
2022-07-01,74,164,1
2022-07-05,76,162,1
2022-07-06,77,161,1
2022-07-07,78,160,1
2022-07-08,79,159,1
2022-07-11,79,159,1
2022-07-12,80,158,1
2022-07-13,80,158,1
2022-07-14,82,156,1
2022-07-15,83,155,1
2022-07-18,83,155,1
2022-07-19,83,155,1
2022-07-20,85,153,1
2022-07-21,85,153,1
2022-07-22,86,152,1
2022-07-25,87,151,1
2022-07-26,87,151,1
2022-07-27,88,150,1
2022-07-28,90,148,1
2022-07-29,90,148,1
2022-08-01,90,148,1
2022-08-02,90,148,1
2022-08-03,90,148,1
2022-08-04,90,148,1
2022-08-05,90,148,1
2022-08-08,90,148,1
2022-08-09,90,148,1
2022-08-10,92,146,1
2022-08-11,93,145,1
2022-08-12,93,145,1
2022-08-15,95,143,1
2022-08-16,95,143,1
2022-08-17,96,142,1
2022-08-18,96,142,1
2022-08-19,96,142,1
2022-08-22,96,142,1
2022-08-23,97,141,1
2022-08-24,98,140,1
2022-08-25,98,140,1
2022-08-26,98,140,1
2022-08-29,99,139,1
2022-08-30,99,139,1
2022-08-31,99,139,1
2022-09-01,99,139,1
2022-09-02,99,139,1
2022-09-06,99,139,1
2022-09-07,99,139,1
2022-09-08,100,138,1
2022-09-09,100,138,1
2022-09-12,100,138,1
2022-09-13,101,137,1
2022-09-14,102,136,1
2022-09-15,102,136,1
2022-09-16,102,136,1
2022-09-19,102,136,1
2022-09-20,102,136,1
2022-09-21,103,135,1
2022-09-22,104,134,1
2022-09-23,104,134,1
2022-09-26,105,133,1
2022-09-27,106,132,1
2022-09-28,107,131,1
2022-09-29,108,130,1
2022-09-30,109,129,1
2022-10-03,110,128,1
2022-10-04,110,128,1
2022-10-05,110,128,1
2022-10-06,110,128,1
2022-10-07,110,128,1
2022-10-11,111,127,1
2022-10-12,112,126,1
2022-10-13,112,126,1
2022-10-14,112,126,1
2022-10-17,113,125,1
2022-10-18,113,125,1
2022-10-19,113,125,1
2022-10-20,113,125,1
2022-10-21,113,125,1
2022-10-24,114,124,1
2022-10-25,114,124,1
2022-10-26,114,124,1
2022-10-27,114,124,1
2022-10-28,114,124,1
2022-10-31,115,123,1
2022-11-01,115,123,1
2022-11-02,115,123,1
2022-11-03,116,122,1
2022-11-04,116,122,1
2022-11-07,116,122,1
2022-11-08,116,122,1
2022-11-09,117,121,1
2022-11-10,119,119,1
2022-11-14,122,116,1
2022-11-15,124,114,1
2022-11-16,124,114,1
2022-11-17,124,114,1
2022-11-18,124,114,1
2022-11-21,125,113,1
2022-11-22,126,112,1
2022-11-23,126,112,1
2022-11-25,126,112,1
2022-11-28,126,112,1
2022-11-29,126,112,1
2022-11-30,128,110,1
2022-12-01,129,109,1
2022-12-02,129,109,1
2022-12-05,129,109,1
2022-12-06,129,109,1
2022-12-07,129,109,1
2022-12-08,130,108,1
2022-12-09,131,107,1
2022-12-12,131,107,1
2022-12-13,132,106,1
2022-12-14,134,104,1
2022-12-15,134,104,1
2022-12-16,134,104,1
2022-12-19,134,104,1
2022-12-20,136,102,1
2022-12-21,137,101,1
2022-12-22,137,101,1
2022-12-23,137,101,1
2022-12-27,138,100,1
2022-12-28,138,100,1
2022-12-29,138,100,1
2022-12-30,138,100,1
2023-01-03,140,98,1
2023-01-04,140,98,1
2023-01-05,141,97,1
2023-01-06,141,97,1
2023-01-09,141,97,1
2023-01-10,142,96,1
2023-01-11,142,96,1
2023-01-12,142,96,1
2023-01-13,142,96,1
2023-01-17,142,96,1
2023-01-18,142,96,1
2023-01-19,142,96,1
2023-01-20,144,94,1
2023-01-23,145,93,1
2023-01-24,145,93,1
2023-01-25,145,93,1
2023-01-26,148,90,1
2023-01-27,148,90,1
2023-01-30,148,90,1
2023-01-31,149,89,1
2023-02-01,150,88,1
2023-02-02,151,87,1
2023-02-03,151,87,1
2023-02-06,151,87,1
2023-02-07,152,86,1
2023-02-08,152,86,1
2023-02-09,153,85,1
2023-02-10,155,83,1
2023-02-13,156,82,1
2023-02-14,158,80,1
2023-02-15,158,80,1
2023-02-16,158,80,1
2023-02-17,158,80,1
2023-02-21,158,80,1
2023-02-22,158,80,1
2023-02-23,158,80,1
2023-02-24,158,80,1
2023-02-27,158,80,1
2023-02-28,158,80,1
2023-03-01,158,80,1
2023-03-02,159,79,1
2023-03-03,159,79,1
2023-03-06,161,77,1
2023-03-07,161,77,1
