side,cell,cik,subject_name,td,accession
control,control_post,0000828146,,2024-05-28,0001104659-24-066057
control,control_post,0001169561,,2024-02-13,0000921895-24-000526
control,control_post,0001294133,,2024-10-30,0001214659-24-018485
control,control_post,0001356576,,2024-03-28,0001104659-24-041578
control,control_post,0001630627,,2024-10-30,0001214659-24-018485
control,control_post,0001784535,,2024-08-09,0001665159-24-000001
control,control_post,0001856365,,2024-02-07,0001999371-24-001967
control,control_pre,0000816956,,2022-01-06,0000950127-22-000003
control,control_pre,0000914122,,2022-04-01,0001213900-22-018462
control,control_pre,0001088856,,2022-03-28,0000902664-22-002457
control,control_pre,0001106644,,2023-08-22,0001213900-23-072694
control,control_pre,0001351636,,2023-05-09,0000921895-23-001235
control,control_pre,0001519401,,2021-12-31,0001213900-22-006966
control,control_pre,0001560241,,2023-09-27,0001140361-23-045575
control,control_pre,0001631596,,2023-05-10,0001104659-23-058700
treated,treated_post,0001087786,NUVEEN NEW JERSEY QUALITY MUNICIPAL INCOME FUND,2024-06-05,0000897101-24-000225
treated,treated_post,0001556801,"My City Builders, Inc.",2025-01-22,0001640334-25-000144
treated,treated_post,0001624512,Boxlight Corp,2025-06-11,0002073826-25-000001
treated,treated_post,0001682149,Datavault AI Inc.,2025-10-23,0001193125-25-303063
treated,treated_post,0001914818,Starbox Group Holdings Ltd.,2024-05-07,0001493152-24-019231
treated,treated_post,0002011286,"Amentum Holdings, Inc.",2024-12-17,0000950157-24-001703
treated,treated_post,0002065948,Solarius Capital Acquisition Corp.,2025-07-17,0001185185-25-000812
treated,treated_pre,0001016178,CARVER BANCORP INC,2022-12-20,0001607062-22-000756
treated,treated_pre,0001130713,"OVERSTOCK.COM, INC",2023-10-12,0001013594-23-000799
treated,treated_pre,0001409430,All American Gold Corp.,2022-09-01,0001903596-22-000564
treated,treated_pre,0001421636,"C-Bond Systems, Inc",2023-01-17,0001213900-23-004858
treated,treated_pre,0001587264,ENETI INC.,2023-12-15,0000950103-23-017866
treated,treated_pre,0001776932,"MedMen Enterprises, Inc.",2021-01-11,0001829126-22-009179
treated,treated_pre,0001800637,Agrify Corp,2024-01-25,0001213900-24-007418
treated,treated_pre,0001832487,"Guerrilla RF, Inc.",2023-09-06,0001437749-23-025999
