cik,event_date,form,accession,route,bidder_cik,bidder_name,ambiguous,confirm_detail
0000002178,2024-11-12,8-K,0000002178-24-000090,A,,,0,8k-text:merger:3;target:2;via-primary
0000002178,2024-12-06,PREM14A,0001213900-24-106504,A,,,0,form-type
0000002178,2024-12-20,DEFM14A,0001213900-24-111223,A,,,0,form-type
0000002178,2025-02-04,8-K,0000002178-25-000022,A,,,0,8k-text:merger:3;target:2;nonmerger:1;via-primary
