spec,depvar,param,coef,se,t,p,n,r2,yq_fe
1_level,car_m1_p1,const,0.008476367002890018,0.005906133860083904,1.4351803063890598,0.1578573864471755,1513,0.001112755610533367,False
1_level,car_m1_p1,post,0.00859114849180401,0.007695997509728938,1.116313834683998,0.26996256731693624,1513,0.001112755610533367,False
2_interaction,car_m1_p1,const,0.18151536252530295,0.042049821614625435,4.316673782562962,0.000101249385593239,893,0.05991862278758331,False
2_interaction,car_m1_p1,post,0.01651354879829948,0.01890154506512925,0.8736613192941939,0.387517825928388,893,0.05991862278758331,False
2_interaction,car_m1_p1,ln_amihud,-0.014304095618532887,0.0038368764351469024,-3.7280574082353075,0.0005972928886488316,893,0.05991862278758331,False
2_interaction,car_m1_p1,post_x_lnamihud,0.0016595680674158205,0.0034713749277686954,0.4780722629930802,0.6352012859888118,893,0.05991862278758331,False
2_interaction,car_m1_p1,lnsize,-0.018196729999495478,0.004139319651870553,-4.396067839620069,7.921401771167947e-05,893,0.05991862278758331,False
2_interaction,car_m1_p1,runup,-0.016701446563076087,0.007099995215751378,-2.352318002415528,0.02366535503334986,893,0.05991862278758331,False
2_interaction,car_m1_p1,pct,-0.00021095875713673847,0.0003210933619466782,-0.6570013028539997,0.5149427213095984,893,0.05991862278758331,False
2_interaction,car_m1_p1,hf_filer,0.011904899785738103,0.00860520528741598,1.3834533155353665,0.1741988501205248,893,0.05991862278758331,False
3_interaction_yqFE,car_m1_p1,const,0.20984147851280666,0.047066281063756744,4.4584248801929345,6.527113346310952e-05,893,0.09796150448724572,True
3_interaction_yqFE,car_m1_p1,ln_amihud,-0.014111580279734425,0.0036685079182222882,-3.8466811560196157,0.00042069793271954807,893,0.09796150448724572,True
3_interaction_yqFE,car_m1_p1,post_x_lnamihud,0.001644485446818958,0.0034905670448005057,0.471122721813511,0.6401124955491814,893,0.09796150448724572,True
3_interaction_yqFE,car_m1_p1,lnsize,-0.018413062333236543,0.004178292830510051,-4.406838649216654,7.661277972717235e-05,893,0.09796150448724572,True
3_interaction_yqFE,car_m1_p1,runup,-0.01654386485624721,0.006795636357885598,-2.434483539874798,0.01946951409916889,893,0.09796150448724572,True
3_interaction_yqFE,car_m1_p1,pct,-0.0002531059338707575,0.00033833984631204903,-0.7480819555534091,0.4587866896406655,893,0.09796150448724572,True
3_interaction_yqFE,car_m1_p1,hf_filer,0.013853690175493089,0.00845637406779647,1.6382541813341318,0.10921234098483559,893,0.09796150448724572,True
1_level,car_m10_p1,const,0.046226364951669555,0.01862599831464983,2.481819453151745,0.016702778989828523,1508,0.0020459998696924497,False
1_level,car_m10_p1,post,0.07934438821219253,0.05110209455715915,1.5526641109288302,0.12721186969636453,1508,0.0020459998696924497,False
2_interaction,car_m10_p1,const,0.613710797909016,0.13367503684348597,4.591065111338492,4.3140437419917e-05,891,0.043778535179149536,False
2_interaction,car_m10_p1,post,0.03769704324813679,0.04432815370272607,0.8504086026442946,0.40015989138960606,891,0.043778535179149536,False
2_interaction,car_m10_p1,ln_amihud,-0.030756673251704607,0.008422926053606594,-3.651542594100654,0.0007471569910295527,891,0.043778535179149536,False
2_interaction,car_m10_p1,post_x_lnamihud,0.004043229047743966,0.00822412461573831,0.49163032379233834,0.6256678188301902,891,0.043778535179149536,False
2_interaction,car_m10_p1,lnsize,-0.0530313658107992,0.012752046308069837,-4.158655366334385,0.0001643886921373056,891,0.043778535179149536,False
2_interaction,car_m10_p1,runup,-0.08281723205684262,0.029973014605169556,-2.7630598105590227,0.008611878848886752,891,0.043778535179149536,False
2_interaction,car_m10_p1,pct,-0.0011078554979628175,0.0006926721232651519,-1.5993937979495318,0.11760321128580425,891,0.043778535179149536,False
2_interaction,car_m10_p1,hf_filer,-0.033316854895178244,0.027046664457659835,-1.2318286030180938,0.22520578704250002,891,0.043778535179149536,False
3_interaction_yqFE,car_m10_p1,const,0.7441149634878315,0.1302807024186414,5.711628427491182,1.2017760373307946e-06,891,0.0687282709076158,True
3_interaction_yqFE,car_m10_p1,ln_amihud,-0.027334942215538283,0.009832229517022787,-2.780136709401729,0.008242331053370184,891,0.0687282709076158,True
3_interaction_yqFE,car_m10_p1,post_x_lnamihud,-0.001680658366342,0.008798817950325192,-0.1910095624014911,0.8494843285464182,891,0.0687282709076158,True
3_interaction_yqFE,car_m10_p1,lnsize,-0.05331847691716923,0.013002129062127808,-4.100749705098192,0.00019606681163384979,891,0.0687282709076158,True
3_interaction_yqFE,car_m10_p1,runup,-0.07852832117174365,0.03017896561473663,-2.6020878970549486,0.012930747854191162,891,0.0687282709076158,True
3_interaction_yqFE,car_m10_p1,pct,-0.00102442949633155,0.0006639757104684137,-1.5428719457355564,0.13073708007563686,891,0.0687282709076158,True
3_interaction_yqFE,car_m10_p1,hf_filer,-0.030692542059819264,0.02673900211437276,-1.147856674999902,0.2578466136557882,891,0.0687282709076158,True
