form,company,cik,date_filed,edgar_path,window,accession,filed,subject_cik,filer_cik,event,pct_of_class,has_xml,delay_bdays,delay_cdays
SC 13D,Eagle Point Credit Co Inc.,1604174,2023-04-04,edgar/data/1604174/0001193125-23-091045.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-091045,2023-04-04,0001604174,0001909258,,10.6,False,,
SC 13D,"Elicio Therapeutics, Inc.",1601485,2023-06-14,edgar/data/1601485/0001068238-23-000119.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001068238-23-000119,2023-06-14,0001601485,0001977769,2023-06-01,8.4,False,9.0,13.0
SC 13D,Enochian Biosciences Inc,1527728,2023-05-19,edgar/data/1527728/0001214659-23-007572.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001214659-23-007572,2023-05-19,0001527728,0001753085,,48.5,False,,
SC 13D,"Forager Fund, L.P.",1539281,2023-06-06,edgar/data/1539281/0001654954-23-007663.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001654954-23-007663,2023-06-06,0001370450,0001539281,2023-06-06,11.3,False,0.0,0.0
SC 13D,"Franchise Group, Inc.",1528930,2023-05-11,edgar/data/1528930/0001213900-23-038595.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-038595,2023-05-11,0001528930,0001207269,2023-05-10,1.0,False,1.0,1.0
SC 13D,G-Star Management Corp,1901476,2023-05-05,edgar/data/1901476/0001829126-23-003120.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001829126-23-003120,2023-05-05,0001895144,0001901476,,22.88,False,,
SC 13D,"GAMCO INVESTORS, INC. ET AL",807249,2023-04-10,edgar/data/807249/0000807249-23-000039.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000807249-23-000039,2023-04-10,0000923571,0000807249,2023-03-31,3.31,False,6.0,10.0
SC 13D,GELLER MARSHALL S,925236,2023-06-08,edgar/data/925236/0001214659-23-008365.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001214659-23-008365,2023-06-08,0001104038,0000925236,2023-05-12,5.1,False,19.0,27.0
SC 13D,GILL JAGROOP,1981173,2023-06-12,edgar/data/1981173/0001137547-23-000062.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001137547-23-000062,2023-06-12,0001137547,0001981173,2023-06-01,0.0,False,7.0,11.0
SC 13D,GLORY STAR NEW MEDIA GROUP HOLDINGS Ltd,1738758,2023-05-19,edgar/data/1738758/0001213900-23-041299.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-041299,2023-05-19,0001738758,0001978353,,21.8,False,,
SC 13D,GoldMining Inc.,1538847,2023-04-28,edgar/data/1538847/0001493152-23-014037.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001493152-23-014037,2023-04-28,0001947244,0001538847,2023-04-21,80.7,False,5.0,7.0
SC 13D,"GreenLight Biosciences Holdings, PBC",1822691,2023-06-06,edgar/data/1822691/0000950170-23-026620.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000950170-23-026620,2023-06-06,0001822691,0001908352,2023-05-29,0.02,False,6.0,8.0
SC 13D,"GreenLight Biosciences Holdings, PBC",1822691,2023-06-08,edgar/data/1822691/0000897069-23-000705.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000897069-23-000705,2023-06-08,0001822691,0001980020,2023-05-29,2.59,False,8.0,10.0
SC 13D,"GreenLight Biosciences Holdings, PBC",1822691,2023-06-08,edgar/data/1822691/0000950170-23-026942.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000950170-23-026942,2023-06-08,0001822691,0001980543,2023-05-29,0.0,False,8.0,10.0
SC 13D,"GreenLight Biosciences Holdings, PBC",1822691,2023-06-08,edgar/data/1822691/0000950170-23-026946.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000950170-23-026946,2023-06-08,0001822691,0001980394,2023-05-29,0.66,False,8.0,10.0
SC 13D,"GreenLight Biosciences Holdings, PBC",1822691,2023-06-08,edgar/data/1822691/0000950170-23-026992.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000950170-23-026992,2023-06-08,0001822691,0001980597,2023-05-29,0.0,False,8.0,10.0
SC 13D,"GreenLight Biosciences Holdings, PBC",1822691,2023-06-08,edgar/data/1822691/0001104659-23-069402.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-069402,2023-06-08,0001822691,0001980229,,,False,,
