cik,name,event_date,form,accession,route,confirm_detail
0001337553,AERIE PHARMACEUTICALS INC,2022-08-23,8-K,0001193125-22-227609,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001356576,"SUPERNUS PHARMACEUTICALS, INC.",2021-10-12,SC TO-C,0001104659-21-125030,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001356576,"SUPERNUS PHARMACEUTICALS, INC.",2021-10-25,SC TO-T,0001104659-21-129312,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001356576,"SUPERNUS PHARMACEUTICALS, INC.",2025-06-16,SC TO-C,0001104659-25-059761,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001356576,"SUPERNUS PHARMACEUTICALS, INC.",2025-06-16,SC TO-C,0001104659-25-059956,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001356576,"SUPERNUS PHARMACEUTICALS, INC.",2025-07-02,SC TO-T,0001104659-25-065398,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001360214,"HARROW, INC.",2025-11-18,8-K,0001493152-25-023988,A,8k-text:merger:3;via-primary
0001364479,HERC HOLDINGS INC,2025-03-19,SC TO-T,0001193125-25-057937,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001364479,HERC HOLDINGS INC,2025-06-02,8-K,0001193125-25-133360,A,8k-text:merger:4;target:1;acquirer:3;nonmerger:4;via-primary
0001382574,"Scienture Holdings, Inc.",2023-06-23,8-K,0001493152-23-022184,A,8k-text:merger:1;via-primary
0001382574,"Scienture Holdings, Inc.",2023-06-23,8-K,0001493152-23-022283,A,8k-text:merger:1;via-primary
0001382574,"Scienture Holdings, Inc.",2024-07-31,8-K,0001493152-24-029787,A,8k-text:merger:3;target:3;acquirer:1;defence:1;nonmerger:2;via-primary
0001392972,"PROS Holdings, Inc.",2025-09-22,8-K,0001193125-25-211519,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:2;via-primary
