covariate,matched_dimension,treated_mean,control_mean,std_diff_matched,exceeds_0.10
logcap,True,12.085680367126118,12.222084959117327,-0.06691385924934687,False
logilliq,True,-3.536575476835265,-3.6868134766289864,0.054917295719306904,False
turnover,False,29.565690368095368,18.985985415122297,0.06540464100963683,False
ret12m,False,-0.21055364300675722,-0.12635222210081556,-0.1312852744167736,True
idiovol,False,0.04604557192889432,0.04254126532435886,0.12246237825267214,True
