permno,cik,td,treated_permno,treated_accession,match_group,extraction_status,window_coverage,bid12,first_bid_date,first_bid_form,first_bid_route,first_bid_accession,n_bid_events,filer_own_bid,ambiguous,n_ambiguous_events,excluded_prior_bid,prior_bid_any,prior_bid_last_date
44329,0000096943,2022-08-10,92220,0000914121-22-004079,0000914121-22-004079,ok,full,0.0,,,,,0,0,0,0,0,0,
74500,0000098338,2023-03-30,31668,0001214659-23-004528,0001214659-23-004528,ok,full,0.0,,,,,0,0,0,0,0,0,
55001,0000099780,2021-12-28,92570,0001539497-22-000021,0001539497-22-000021,ok,full,0.0,,,,,0,0,0,0,0,0,
91103,0000100517,2024-07-29,58683,0000902664-24-004970,0000902664-24-004970,ok,full,0.0,,,,,0,0,0,0,0,0,
78693,0000101199,2023-04-24,56822,0000921895-23-000932,0000921895-23-000932,ok,full,0.0,,,,,0,0,0,0,0,0,
78749,0000101295,2022-08-26,13599,0001851734-22-000538,0001851734-22-000538,ok,full,0.0,,,,,0,0,0,0,0,0,
78749,0000101295,2023-01-19,82526,0000921895-23-000151,0000921895-23-000151,ok,full,0.0,,,,,0,0,0,0,0,0,
78749,0000101295,2023-05-22,18894,0001332596-23-000001,0001332596-23-000001,ok,full,0.0,,,,,0,0,0,0,0,0,
78749,0000101295,2023-08-16,16681,0000921895-23-002063,0000921895-23-002063,ok,full,0.0,,,,,0,0,0,0,0,0,
78749,0000101295,2024-05-22,11292,0001744329-24-000003,0001744329-24-000003,ok,full,0.0,,,,,0,0,0,0,0,0,
24969,0000104918,2024-10-01,18368,0001749723-24-000095,0001749723-24-000095,ok,full,0.0,,,,,0,0,0,0,0,0,
29612,0000109563,2023-01-31,82777,0000950142-23-000274,0000950142-23-000274,ok,full,0.0,,,,,0,0,0,0,0,0,
29744,0000109657,2023-06-21,82848,0001493152-23-025154,0001493152-23-025154,ok,full,0.0,,,,,0,0,0,0,0,0,
29744,0000109657,2023-08-16,86536,0001437749-23-024725,0001437749-23-024725,ok,full,0.0,,,,,0,0,0,0,0,0,
56945,0000275053,2022-04-04,12577,0000950142-22-001358,0000950142-22-001358,ok,full,0.0,,,,,0,0,0,0,0,0,
56945,0000275053,2023-01-09,83148,0000921895-23-000084,0000921895-23-000084,ok,full,0.0,,,,,0,0,0,0,0,0,
56945,0000275053,2023-10-04,12577,0001140361-23-048351,0001140361-23-048351,ok,full,0.0,,,,,0,0,0,0,0,0,
47706,0000277509,2021-12-28,92570,0001539497-22-000021,0001539497-22-000021,ok,full,0.0,,,,,0,0,0,0,0,0,
19997,0000314227,2022-09-30,15125,0001628280-22-030420,0001628280-22-030420,ok,full,0.0,,,,,0,0,0,0,0,0,
19997,0000314227,2023-01-25,20297,0001513162-23-000013,0001513162-23-000013,ok,full,0.0,,,,,0,0,0,0,0,0,
19997,0000314227,2023-06-02,21939,0001213900-23-047253,0001213900-23-047253,ok,full,0.0,,,,,0,0,0,0,0,0,
19997,0000314227,2024-04-22,15631,0000899140-24-000506,0000899140-24-000506,ok,full,0.0,,,,,0,0,0,0,0,0,
77236,0000315131,2022-11-18,89546,0001387131-22-011869,0001387131-22-011869,ok,full,0.0,,,,,0,0,0,0,0,0,
87656,0000318306,2022-03-18,85293,0000921895-22-000996,0000921895-22-000996,ok,full,0.0,,,,,0,0,0,0,0,0,
87656,0000318306,2022-06-24,16681,0000921895-22-002146,0000921895-22-002146,ok,full,0.0,,,,,0,0,0,0,0,0,
11593,0000318673,2023-05-24,19592,0001213900-23-045856,0001213900-23-045856,ok,full,0.0,,,,,0,0,0,0,0,0,
11593,0000318673,2024-12-10,83565,0000904853-24-000009,0000904853-24-000009,ok,full,0.0,,,,,0,0,0,0,0,0,
34666,0000320017,2023-05-22,18894,0001332596-23-000001,0001332596-23-000001,ok,full,0.0,,,,,0,0,0,0,0,0,
34666,0000320017,2024-03-15,18419,0001193805-24-000439,0001193805-24-000439,ok,full,0.0,,,,,0,0,0,0,0,0,
20173,0000320121,2023-06-16,17315,0000921895-23-001570,0000921895-23-001570,ok,full,0.0,,,,,0,0,0,0,0,0,
20173,0000320121,2023-08-03,16999,0001213900-23-066230,0001213900-23-066230,ok,full,0.0,,,,,0,0,0,0,0,0,
67029,0000350868,2024-11-06,88807,0000950142-24-002787,0000950142-24-002787,ok,full,0.0,,,,,0,0,0,0,1,1,2024-11-01
66852,0000355948,2022-01-27,37402,0000921895-22-000291,0000921895-22-000291,ok,full,0.0,,,,,0,0,0,0,0,0,
65270,0000700841,2023-06-16,17315,0000921895-23-001570,0000921895-23-001570,ok,full,0.0,,,,,0,0,0,0,0,0,
11275,0000704440,2024-03-25,89891,0001140361-24-016912,0001140361-24-016912,ok,full,0.0,,,,,0,0,0,0,0,0,
89279,0000706863,2024-03-18,22302,0000897069-24-000736,0000897069-24-000736,ok,full,0.0,,,,,0,0,0,0,0,0,
89279,0000706863,2024-08-19,79734,0001013594-24-000674,0001013594-24-000674,ok,full,0.0,,,,,0,0,0,0,0,0,
61146,0000708821,2022-06-13,85424,0000807249-22-000074,0000807249-22-000074,ok,full,0.0,,,,,0,0,0,0,0,0,
16976,0000711772,2022-02-11,86287,0001104659-22-023678,0001104659-22-023678,ok,full,1.0,2022-05-23,8-K,A,0001193125-22-157509,1,0,0,1,0,0,
76928,0000714256,2022-06-07,19082,0001493152-22-016439,0001493152-22-016439,ok,full,0.0,,,,,0,0,0,0,0,0,
77379,0000714562,2022-12-31,58836,0001587987-23-000044,0001587987-23-000044,ok,full,1.0,2023-11-13,8-K,A,0000714562-23-000042,1,0,0,0,0,1,2021-08-10
60468,0000716314,2021-12-28,18075,0000921895-22-000091,0000921895-22-000091,ok,full,0.0,,,,,0,0,0,0,0,0,
60468,0000716314,2023-06-06,88542,0000919574-23-003607,0000919574-23-003607,ok,full,0.0,,,,,0,0,0,0,0,0,
80179,0000717720,2024-12-02,19826,0001683168-24-008597,0001683168-24-008597,ok,full,0.0,,,,,0,0,0,0,0,0,
47619,0000719733,2021-12-31,86474,0001104659-22-002789,0001104659-22-002789,ok,full,0.0,,,,,0,0,0,0,0,0,
47619,0000719733,2023-08-20,20312,0001213900-23-071415,0001213900-23-071415,ok,full,0.0,,,,,0,0,0,0,0,0,
69649,0000720005,2022-01-01,12591,0000950142-22-000248,0000950142-22-000248,ok,full,0.0,,,,,0,0,0,0,0,0,
65008,0000720500,2023-06-06,88542,0000919574-23-003607,0000919574-23-003607,ok,full,0.0,,,,,0,0,0,0,0,0,
93302,0000721693,2022-05-06,87302,0001477932-22-003302,0001477932-22-003302,ok,full,0.0,,,,,0,0,0,0,0,0,
79322,0000722313,2022-07-01,92448,0001140361-22-024908,0001140361-22-024908,ok,full,0.0,,,,,0,0,0,0,0,0,
18652,0000723646,2023-06-01,88984,0001137547-23-000062,0001137547-23-000062,ok,full,0.0,,,,,0,0,0,0,0,0,
89655,0000724910,2022-05-12,20670,0000902664-22-003109,0000902664-22-003109,ok,full,0.0,,,,,0,0,0,0,0,0,
79019,0000731653,2022-11-08,92807,0000921895-22-003096,0000921895-22-003096,ok,full,0.0,,,,,0,0,0,0,0,0,
92583,0000732026,2024-05-28,86290,0001104659-24-066057,0001104659-24-066057,ok,full,0.0,,,,,0,0,0,0,0,0,
20117,0000733269,2022-11-29,81222,0001193805-22-001682,0001193805-22-001682,ok,full,0.0,,,,,0,0,0,0,0,0,
77624,0000736012,2021-12-28,18075,0000921895-22-000091,0000921895-22-000091,ok,full,0.0,,,,,0,0,0,0,0,0,
77624,0000736012,2022-04-01,83910,0001213900-22-018462,0001213900-22-018462,ok,full,0.0,,,,,0,0,0,0,0,0,
77624,0000736012,2024-05-03,83840,0000950103-24-006446,0000950103-24-006446,ok,full,0.0,,,,,0,0,0,0,0,0,
11397,0000737468,2023-08-15,17093,0001104659-23-093361,0001104659-23-093361,ok,full,0.0,,,,,0,0,0,0,0,0,
11397,0000737468,2024-10-02,15064,0001904067-24-000003,0001904067-24-000003,ok,full,0.0,,,,,0,0,0,0,0,0,
14689,0000738214,2022-04-12,16668,0001104659-22-049068,0001104659-22-049068,ok,full,0.0,,,,,0,0,0,0,0,0,
88183,0000740971,2022-12-31,91472,0001157523-23-000269,0001157523-23-000269,ok,full,0.0,,,,,0,0,0,0,0,0,
76123,0000745308,2022-11-02,92502,0001104659-22-115972,0001104659-22-115972,ok,full,0.0,,,,,0,0,0,0,0,0,
10890,0000746838,2022-11-10,88203,0001493152-22-033146,0001493152-22-033146,ok,full,0.0,,,,,0,0,0,0,0,0,
10890,0000746838,2023-05-25,85177,0001085146-23-002486,0001085146-23-002486,ok,full,0.0,,,,,0,0,0,0,0,0,
21090,0000748268,2023-08-08,46834,0001062993-23-016502,0001062993-23-016502,ok,full,0.0,,,,,0,0,0,0,0,0,
88779,0000749660,2022-01-27,88564,0001493152-22-003197,0001493152-22-003197,ok,full,0.0,,,,,0,0,0,0,0,0,
88779,0000749660,2023-08-31,21933,0000902664-23-004716,0000902664-23-004716,ok,full,0.0,,,,,0,0,0,0,0,0,
92690,0000752642,2022-07-13,12566,0001104659-22-082403,0001104659-22-082403,ok,full,0.0,,,,,0,0,0,0,0,0,
13694,0000763563,2022-02-15,88341,0000897069-22-000124,0000897069-22-000124,ok,full,0.0,,,,,0,0,0,0,0,0,
77889,0000763907,2022-02-15,88341,0000897069-22-000124,0000897069-22-000124,ok,full,0.0,,,,,0,0,0,0,0,0,
87725,0000764401,2024-02-29,79198,0001140361-24-011951,0001140361-24-011951,ok,full,0.0,,,,,0,0,0,0,0,0,
54199,0000766829,2024-10-01,18368,0001749723-24-000095,0001749723-24-000095,ok,full,0.0,,,,,0,0,0,0,0,0,
89202,0000767405,2022-12-31,91472,0001157523-23-000269,0001157523-23-000269,ok,full,0.0,,,,,0,0,0,0,0,0,
83671,0000768899,2023-08-23,19679,0001628280-23-031024,0001628280-23-031024,ok,full,0.0,,,,,0,0,0,0,0,0,
